condition,strategy,tempo,std_fraction,interval_i,error
Jittering,equal_weights,400,0.2,1,56.568542494923804
Jittering,equal_weights,400,0.2,2,28.284271247461902
Jittering,equal_weights,400,0.2,3,18.856180831641264
Jittering,equal_weights,400,0.2,4,14.142135623730951
Jittering,equal_weights,400,0.2,5,11.313708498984761
Jittering,equal_weights,400,0.2,6,16.0
Jittering,equal_weights,400,0.2,7,16.0
Jittering,equal_weights,400,0.2,8,16.0
Jittering,equal_weights,400,0.2,9,16.0
Jittering,equal_weights,400,0.2,10,16.0
Jittering,equal_weights,400,0.2,11,16.0
Jittering,equal_weights,400,0.2,12,16.0
Jittering,equal_weights,400,0.2,13,16.0
Jittering,equal_weights,400,0.2,14,16.0
Jittering,equal_weights,400,0.2,15,16.0
Jittering,equal_weights,400,0.2,16,16.0
Jittering,equal_weights,400,0.2,17,16.0
Jittering,equal_weights,400,0.2,18,16.0
Jittering,equal_weights,400,0.2,19,16.0
Jittering,equal_weights,400,0.2,20,16.0
Jittering,equal_weights,400,0.2,21,16.0
Jittering,equal_weights,400,0.2,22,16.0
Jittering,exp_decay,400,0.2,1,56.568542494923804
Jittering,exp_decay,400,0.2,2,29.137254363387342
Jittering,exp_decay,400,0.2,3,24.140722658338092
Jittering,exp_decay,400,0.2,4,22.865634570055025
Jittering,exp_decay,400,0.2,5,22.45937217316075
Jittering,exp_decay,400,0.2,6,22.31262813346815
Jittering,exp_decay,400,0.2,7,22.256395794962526
Jittering,exp_decay,400,0.2,8,22.234293624846142
Jittering,exp_decay,400,0.2,9,22.22551504214281
Jittering,exp_decay,400,0.2,10,22.222013559500194
Jittering,exp_decay,400,0.2,11,22.220614557538436
Jittering,exp_decay,400,0.2,12,22.22005521126657
Jittering,exp_decay,400,0.2,13,22.219831513475874
Jittering,exp_decay,400,0.2,14,22.21974204087423
Jittering,exp_decay,400,0.2,15,22.2197062528759
Jittering,exp_decay,400,0.2,16,22.21969193784333
Jittering,exp_decay,400,0.2,17,22.21968621185699
Jittering,exp_decay,400,0.2,18,22.219683921466714
Jittering,exp_decay,400,0.2,19,22.219683005311296
Jittering,exp_decay,400,0.2,20,22.219682638849235
Jittering,exp_decay,400,0.2,21,22.21968249226443
Jittering,exp_decay,400,0.2,22,22.21968243363051
Jittering,optimal,400,0.2,1,56.568542494923804
Jittering,optimal,400,0.2,2,25.298221281347036
