pp_id,unique_id,age,gender_str,gender_code,L1_str,L1_code,handedness_str,handedness_code,musicality_question_1,musicality_question_2,musicality_question_3,musicality_question_4,musicality_question_5,musicality_question_6,musicality_question_7,musicality_question_8,musicality_calculated,n_resampled,failed_training,n_training_rounds_needed
298,1016718,23.0,vrouw,,Nederlands,,right,,14,3.0,2.0,3.0,3.0,4.0,6,1,,0,True,1
183,1049495,66.0,vrouw,,nederlands,,right,,20,3.0,1.0,3.0,1.0,1.0,,,,0,True,3
182,1066461,73.0,v,,nederlands,,right,,70,2.0,4.0,2.0,3.0,2.0,20,0.5,,0,True,2
67,1086672,24.0,Vrouw,,Nederlands,,right,,24,3.0,1.0,3.0,1.0,1.0,,,,0,False,2
306,1130980,23.0,v,,duits,,right,,6,4.0,4.0,1.0,2.0,1.0,,,,0,True,2
215,1266108,18.0,vrouw,,Nederlands,,right,,10,4.0,2.0,1.0,2.0,1.0,,,,0,True,2
310,1287278,63.0,Man,,Nederlands,,right,,20,2.0,1.0,3.0,2.0,1.0,,,,0,False,2
259,1351075,59.0,v,,nederlands,,right,,7,2.0,2.0,2.0,1.0,1.0,,,,1,False,1
205,1435371,30.0,man,,Nederlands,,right,,5,4.0,2.0,1.0,2.0,3.0,14,7,,0,True,1
15,1443205,27.0,vrouw,,Nederlands,,right,,8,4.0,1.0,2.0,1.0,1.0,,,,0,True,2
127,1493519,,,,,,,,,,,,,,,,,0,False,1
104,1544301,35.0,man,,nederlands,,right,,40,2.0,1.0,1.0,1.0,1.0,,,,0,False,1
64,1599338,24.0,vrouw,,Nederlands,,right,,10,4.0,3.0,2.0,2.0,2.0,5,0,,0,True,2
185,1643869,,,,,,,,,,,,,,,,,0,False,1
25,1715529,21.0,Vrouw,,Nederlands,,right,,14,5.0,1.0,2.0,2.0,1.0,,,,0,True,1
5,1754606,25.0,Vrouw,,Nederlands,,right,,8,2.0,4.0,3.0,4.0,3.0,10,0.5,,0,True,1
75,1841130,18.0,Vrouw,,Nederlands,,right,,10,5.0,3.0,1.0,3.0,3.0,6,0.5,,0,True,2
63,1967154,,,,,,,,,,,,,,,,,0,False,1
286,1982015,23.0,Man,,Nederlands,,left,,40,4.0,4.0,1.0,4.0,1.0,4,,,0,True,1
225,1982204,,,,,,,,,,,,,,,,,0,False,1
284,2061423,20.0,vrouw,,Nederlands,,right,,10,5.0,4.0,2.0,1.0,4.0,3,3,,0,True,1
278,2080698,,,,,,,,,,,,,,,,,0,False,1
52,2113065,18.0,vrouw,,nederlands,,right,,14,4.0,4.0,2.0,4.0,4.0,9,0,,0,True,3
261,2125151,23.0,vrouw,,Nederlands,,left,,21,5.0,4.0,1.0,5.0,4.0,15,5,,0,False,1
256,2180927,24.0,vrouw,,Nederlands,,right,,2,2.0,2.0,2.0,1.0,1.0,,,,0,True,3
118,2195124,26.0,man,,Nederlands,,right,,20,3.0,1.0,5.0,1.0,1.0,,,,1,True,4
7,2195211,38.0,man,,Nederlands,,right,,10,3.0,3.0,1.0,2.0,1.0,,,,0,True,2
236,2227413,27.0,vrouw,,Nederlands,,right,,2,2.0,4.0,3.0,1.0,3.0,8,1,,0,True,3
153,2298660,18.0,vrouw,,Nederlands,,right,,10,3.0,1.0,2.0,2.0,1.0,,,,1,True,1
237,2333590,,,,,,,,,,,,,,,,,1,False,1
110,2388468,28.0,Vrouw,,Nederlands,,right,,20,3.0,1.0,1.0,1.0,3.0,16,2,,0,True,1
292,2436774,,,,,,,,,,,,,,,,,0,False,1
107,2442262,20.0,vrouw,,nederlands,,right,,3,5.0,2.0,3.0,1.0,1.0,,,,0,True,1
269,2458582,21.0,Vrouw,,Nederlands,,left,,2,2.0,1.0,4.0,1.0,1.0,,,,0,True,2
72,2513585,35.0,Vrouwelijk,,Nederlands,,right,,5,4.0,3.0,2.0,2.0,2.0,10,0,,0,True,2
250,2527033,20.0,Vrouw,,Nederlands,,right,,15,4.0,1.0,3.0,2.0,1.0,,,,0,False,3
23,2538732,28.0,vrouw,,Nederlands,,left,,2,5.0,3.0,2.0,3.0,3.0,20,1,,0,True,1
22,2553360,43.0,Vrouw,,Nederlands,,right,,21,4.0,4.0,2.0,4.0,4.0,8,3,,1,True,1
283,2556761,48.0,Male,,Engels,,right,,10,3.0,1.0,1.0,1.0,1.0,,,,0,True,2
196,2582418,65.0,man,,Nederlands,,right,,35,2.0,1.0,1.0,1.0,1.0,,,,0,True,4
163,2613383,19.0,VROUW,,NEDERLANDS,,right,,10,4.0,4.0,2.0,3.0,4.0,10,5,,0,True,2
311,2633671,22.0,vrouw,,Nederlands,,right,,40,5.0,5.0,2.0,4.0,4.0,14,7,,0,True,1
171,2643975,27.0,m,,nederlands,,right,,4,3.0,3.0,1.0,3.0,2.0,10,0,,0,True,2
69,2704734,24.0,vrouw,,Nederlands,,right,,8,4.0,2.0,1.0,3.0,3.0,10,3,,0,False,2
161,2793701,22.0,Vrouw,,Nederlands,,right,,5,3.0,2.0,1.0,2.0,1.0,,,,0,True,1
239,2801504,22.0,Man,,Nederlands,,right,,15,5.0,1.0,2.0,1.0,1.0,,,,0,True,1
244,2805080,47.0,Vrouw,,Nederlands,,ambidextrous,,1,4.0,4.0,2.0,4.0,4.0,10,0,,0,True,2
168,2811377,24.0,Vrouw,,Nederlands,,right,,3,4.0,3.0,4.0,3.0,1.0,,,,1,True,2
144,2851664,22.0,Vrouw,,Nederlands,,right,,25,3.0,4.0,2.0,2.0,4.0,12,1,,0,True,1
305,2858101,22.0,Vrouw,,Nederlands,,left,,10,4.0,1.0,3.0,2.0,1.0,,,,0,False,2
18,2950560,28.0,man,,nederlands,,right,,30,3.0,5.0,5.0,5.0,5.0,16,5,,0,True,2
247,2987387,19.0,vrouw,,nederlands,,right,,20,3.0,1.0,2.0,2.0,2.0,1,0,,0,True,1
35,3002402,25.0,Vrouw,,Nederlands,,right,,21,4.0,2.0,2.0,2.0,1.0,,,,1,False,1
97,3020104,,,,,,,,,,,,,,,,,0,False,1
271,3110778,,,,,,,,,,,,,,,,,0,True,1
186,3175819,57.0,vrouw,,nederlands,,right,,3,4.0,4.0,2.0,3.0,3.0,2,5,,0,True,1
206,3189425,63.0,v,,nl,,ambidextrous,,3,4.0,1.0,3.0,1.0,1.0,,,,0,True,1
81,3197197,18.0,vrouw,,Nederlands,,right,,15,4.0,2.0,2.0,3.0,4.0,8,2,,0,True,1
309,3246138,63.0,man,,Nederlands,,right,,20,2.0,1.0,3.0,2.0,1.0,,,,0,False,2
109,3385043,21.0,Man,,Nederlands,,right,,30,4.0,1.0,2.0,1.0,2.0,6,0.5,,0,False,3
235,3397795,27.0,vrouw,,nederlands,,right,,4,4.0,2.0,3.0,3.0,2.0,1,0.5,,0,True,1
41,3403387,19.0,vrouw,,Nederlands,,right,,20,3.0,3.0,2.0,1.0,1.0,,,,0,False,1
241,3407109,29.0,vrouw,,Nederlands,,right,,10,5.0,1.0,1.0,1.0,1.0,,,,0,True,1
149,3425114,35.0,vrouw,,Nederlands,,right,,40,2.0,4.0,1.0,1.0,2.0,2,0,,1,True,1
902,3438119,,,,,,,,,,,,,,,,,0,True,2
137,3438122,,,,,,,,,,,,,,,,,1,False,1
157,3454314,,,,,,,,,,,,,,,,,0,False,1
73,3533857,23.0,vrouw,,Nederlands,,right,,3,4.0,1.0,2.0,1.0,1.0,,,,0,True,2
214,3543117,18.0,Vrouw,,Nederlands,,right,,12,4.0,4.0,3.0,3.0,3.0,5,4,,1,True,1
174,3568384,23.0,vrouw,,Nederlands,,right,,18,4.0,4.0,2.0,4.0,4.0,14,2,,0,True,1
54,3579457,28.0,man,,Nederlands,,right,,8,2.0,1.0,2.0,1.0,1.0,,,,0,True,2
904,3623689,,,,,,,,,,,,,,,,,1,False,1
141,3644417,21.0,vrouw,,Nederlands,,right,,26,3.0,2.0,1.0,1.0,1.0,,,,0,False,1
74,3665834,21.0,Man,,Nederlands,,right,,14,5.0,1.0,3.0,1.0,1.0,,,,0,True,1
130,3673615,,,,,,,,,,,,,,,,,0,False,1
312,3687234,24.0,vrouw,,Nederlands,,left,,20,5.0,2.0,2.0,2.0,2.0,6,0,,0,True,1
260,3689246,26.0,vrouw,,Nederlands,,right,,3,2.0,5.0,3.0,4.0,4.0,7,0,,0,False,1
58,3697460,47.0,vrouw,,nederlands,,right,,1,3.0,1.0,3.0,1.0,1.0,,,,0,True,1
905,3752565,,,,,,,,,,,,,,,,,0,False,1
112,3754374,31.0,vrouw,,Nederlands,,right,,10,4.0,2.0,3.0,2.0,2.0,25,1,,0,True,2
276,3816014,27.0,Man,,Nederlands,,right,,30,4.0,1.0,3.0,1.0,1.0,,,,0,True,2
297,3816808,36.0,vrouw,,nederlands,,right,,10,3.0,3.0,4.0,3.0,4.0,25,1,,0,False,2
178,3821012,,,,,,,,,,,,,,,,,0,False,1
281,3834544,18.0,man,,Nederland,,left,,9,5.0,1.0,1.0,2.0,1.0,,,,1,False,1
76,3837089,,,,,,,,,,,,,,,,,0,False,1
36,3841152,27.0,man,,Nederlands,,left,,4,4.0,3.0,2.0,3.0,4.0,10,1.5,,0,True,1
139,3852382,,,,,,,,,,,,,,,,,0,False,1
224,3899192,32.0,Vrouw,,Nederlands,,right,,30,3.0,4.0,3.0,3.0,4.0,9,3,,0,True,1
95,3957697,26.0,man,,nederlands,,right,,7,2.0,1.0,1.0,1.0,1.0,,,,1,True,1
169,3972491,19.0,vrouw,,Nederlands,,right,,20,4.0,3.0,4.0,3.0,1.0,,,,1,True,2
133,3995960,21.0,Vrouw,,Nederlands,,right,,10,4.0,2.0,3.0,3.0,1.0,,,,0,True,1
57,4021583,22.0,Vrouw,,Nederlands,,left,,10,3.0,2.0,2.0,1.0,1.0,,,,0,True,2
296,4041782,22.0,Vrouw,,Nederlands,,right,,1,2.0,1.0,2.0,1.0,1.0,,,,0,True,1
165,4068099,24.0,vrouw,,Nederlands,,right,,8,4.0,3.0,2.0,2.0,3.0,4,5,,0,False,2
285,4223296,22.0,vrouw,,Nederlands,,right,,3,3.0,3.0,1.0,2.0,3.0,6,1,,0,False,1
290,4227821,35.0,Vrouw,,Nederlands,,right,,7,3.0,4.0,1.0,4.0,4.0,5,0,,1,True,2
172,4340360,,,,,,,,,,,,,,,,,0,False,1
158,4341396,20.0,Vrouw,,Nederlands,,right,,10,3.0,4.0,3.0,4.0,4.0,12,0.5,,0,True,2
291,4371015,60.0,vrouw,,Nederlands,,right,,2,4.0,1.0,2.0,1.0,4.0,,,,0,True,1
246,4431621,44.0,vrouw,,Nederlands,,right,,3,3.0,1.0,3.0,3.0,1.0,,,,0,True,1
162,4443103,24.0,Vrouw,,Nederlands,,left,,21,4.0,3.0,2.0,3.0,4.0,1,2,,0,True,1
134,4445540,,,,,,,,,,,,,,,,,0,False,1
60,4494763,36.0,mannelijk,,Nederlands,,right,,20,4.0,3.0,2.0,3.0,2.0,5,0,,0,True,1
170,4542729,65.0,man,,nederlands,,right,,14,3.0,2.0,2.0,4.0,3.0,40,,,0,True,1
151,4546157,26.0,M,,Nederlands,,right,,7,5.0,2.0,3.0,1.0,1.0,,,,1,False,3
34,4553795,,,,,,,,,,,,,,,,,0,False,1
272,4568891,25.0,vrouw,,nederlands,,right,,12,4.0,2.0,3.0,1.0,1.0,,,,0,True,2
29,4575917,29.0,vrouw,,Nederlands,,left,,10,4.0,1.0,3.0,2.0,1.0,,,,0,True,2
233,4633276,26.0,vrouw,,Pools,,right,,4,3.0,1.0,2.0,2.0,1.0,,,,0,True,1
217,4665396,28.0,Vrouw,,Nederlands,,right,,15,4.0,1.0,3.0,2.0,1.0,,,,0,True,1
253,4679573,,,,,,,,,,,,,,,,,1,False,2
96,4680779,21.0,v,,Nederlands,,right,,7,4.0,1.0,1.0,2.0,4.0,4,0,,0,True,2
268,4704058,19.0,vrouw,,nederlands,,right,,18,4.0,4.0,3.0,4.0,4.0,3.5,1,,1,True,1
66,4704872,24.0,vrouw,,Nederlands,,right,,8,4.0,2.0,2.0,4.0,3.0,10,3,,1,True,1
293,4733780,,,,,,,,,,,,,,,,,0,False,1
91,4734515,30.0,Vrouw,,Nederlands,,right,,8,4.0,1.0,2.0,1.0,1.0,,,,0,True,2
154,4737993,18.0,vrouw,,nederlands,,right,,30,3.0,4.0,2.0,4.0,3.0,6,3,,0,True,1
20,4765891,21.0,Man,,Nederlands,,right,,35,4.0,1.0,2.0,1.0,4.0,13,2,,0,True,1
21,4807542,24.0,Vrouw,,Nederlands,,right,,15,3.0,3.0,2.0,4.0,1.0,,,,0,True,2
